"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"979327","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","CD","203","Morrisania and Crotona (CD3)","2024","2024-01-01T00:00:00.000","8.521794977",
"979373","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","104","Pelham - Throgs Neck","2024","2024-01-01T00:00:00.000","8.079537624",
"979342","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","Citywide","1","New York City","2024","2024-01-01T00:00:00.000","7.852111384",
"979356","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","UHF34","402","West Queens","2024","2024-01-01T00:00:00.000","8.38291575",
"980243","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","UHF34","404406","Bayside Little Neck-Fresh Meadows","2024","2024-01-01T00:00:00.000","11.74222526",
"980230","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","CD","109","Morningside Heights and Hamilton Heights (CD9)","2024","2024-01-01T00:00:00.000","14.88761927",
"979240","1425","Fine particles (PM 2.5)","Annual mean","mcg/m3","UHF42","408","Jamaica","2024","2024-01-01T00:00:00.000","5.775052914",
"980222","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","CD","205","Fordham and University Heights (CD5)","2024","2024-01-01T00:00:00.000","14.57217736",
"979245","1425","Fine particles (PM 2.5)","Annual mean","mcg/m3","UHF42","403","Flushing - Clearview","2024","2024-01-01T00:00:00.000","5.987163416",
"979252","1425","Fine particles (PM 2.5)","Annual mean","mcg/m3","UHF42","306","Chelsea - Clinton","2024","2024-01-01T00:00:00.000","9.513455582",
"979253","1425","Fine particles (PM 2.5)","Annual mean","mcg/m3","UHF42","305","Upper East Side","2024","2024-01-01T00:00:00.000","7.039415166",
"979266","1425","Fine particles (PM 2.5)","Annual mean","mcg/m3","UHF42","203","Bedford Stuyvesant - Crown Heights","2024","2024-01-01T00:00:00.000","6.554530686",
"979283","1426","Fine particles (PM 2.5)","Summer mean","mcg/m3","CD","503","Tottenville and Great Kills (CD3)","2024","2024-01-01T00:00:00.000","6.955618052",
"980177","1433","Nitrogen dioxide (NO2)","Winter mean","ppb","Borough","3","Manhattan","2024","2024-01-01T00:00:00.000","22.4833103",
"980438","1435","Ozone (O3)","Summer mean","ppb","UHF34","409","Southeast Queens","2024","2024-01-01T00:00:00.000","35.74582358",
"980192","1432","Nitrogen dioxide (NO2)","Summer mean","ppb","CD","405","Ridgewood and Maspeth (CD5)","2024","2024-01-01T00:00:00.000","11.27575821",
